"","may$mean","may_atm2$mean","may_atm4$mean"
"1",67.2802061836659,67.2802061836659,485.217104684692
"2",69.6659705730562,69.6659705730562,533.429935154841
"3",15.5472931138615,15.5472931138615,486.340090044064
"4",1.35673887201602,1.35673887201602,465.633038401547
"5",96.2200081609604,96.2200081609604,411.289990273361
"6",92.4233920137404,92.4233920137404,175.761918623897
"7",52.6693325837153,52.6693325837153,563.840591841166
"8",67.2802061836659,67.2802061836659,485.194560532111
"9",69.6659705730562,69.6659705730562,533.409717441828
"10",15.5472931138615,15.5472931138615,486.321958694127
"11",1.35673887201602,1.35673887201602,465.616778112842
"12",96.2200081609604,96.2200081609604,411.275407962078
"13",92.4233920137404,92.4233920137404,175.748841131473
"14",52.6693325837153,52.6693325837153,563.828863878102
"15",67.2802061836659,67.2802061836659,485.184042833981
"16",69.6659705730562,69.6659705730562,533.40028511557
"17",15.5472931138615,15.5472931138615,486.313499734996
"18",1.35673887201602,1.35673887201602,465.609192074401
"19",96.2200081609604,96.2200081609604,411.268604763441
"20",92.4233920137404,92.4233920137404,175.742739987634
"21",52.6693325837153,52.6693325837153,563.823392340649
"22",67.2802061836659,67.2802061836659,485.179135930802
"23",69.6659705730562,69.6659705730562,533.395884579338
"24",15.5472931138615,15.5472931138615,486.309553311269
"25",1.35673887201602,1.35673887201602,465.605652901125
"26",96.2200081609604,96.2200081609604,411.265430814483
"27",92.4233920137404,92.4233920137404,175.73989357374
"28",52.6693325837153,52.6693325837153,563.820839661899
"29",67.2802061836659,67.2802061836659,485.176846675254
"30",69.6659705730562,69.6659705730562,533.393831563083
"31",15.5472931138615,15.5472931138615,486.307712155639
